"sample_id","estimate_tumor","quantiseq_cd8","epic_caf","epic_bcells","rectangle_aggregated_B_cells","rectangle_aggregated_CAFs","rectangle_aggregated_Tumor_cells","rectangle_aggregated_Dendritic_cells","rectangle_aggregated_Endothelial_cells","rectangle_aggregated_Macrophages","rectangle_aggregated_Monocytes","rectangle_aggregated_NK_cells","rectangle_aggregated_PVL","rectangle_aggregated_T_cells"
"11BR040",0.719677903246959,0.00955040517824976,0.164640548227943,0.00286738192553493,0.0327461039897586,0.0905300042256648,0.758774701660769,0,0.0525780355274846,0.0573072251701136,0,0,0.00187778658407128,0.00597141811049698
"05BR001",0.330729997339156,0.0290574479493316,0.208811055553109,0.0171042393365622,0.165287550440502,0.0991900720411982,0.423145433513047,0,0.0321483858771593,0.146451419046535,0.00159688824950827,7.15574176042278e-07,0,0.119139591003236
"11BR051",0.623044246687607,0.00482893951230091,0.154325088598523,0.0032243350011452,0.0170697090180354,0.16927457604022,0.63587920169783,0,0.0334808748274879,0.110247892321363,0.000838402444203317,0,0.0197051686069152,0.0130659005656566
"11BR072",0.621433273658117,0.0184087801216496,0.229914469979593,0.00291928181151051,0.0266231882446719,0.136684064134549,0.661219947372663,0,0.0470914038364621,0.0931147533785804,0.000263664372326713,0,0.00773806482418597,0.027142486230917
"18BR009",0.437991530430554,0.0339968240028135,0.184873161946711,0.0558949403577564,0.16010090724676,0.156796936104321,0.439230133708569,0,0.0609129059582744,0.0767950711097763,0,9.59638493108291e-08,0,0.103083994579361
"14BR008",0.552337671530109,0.0159964195691439,0.505878946589765,0.00505695174581409,0.0538724675951635,0.297091857937922,0.491886999648696,0,0.10048314784055,0.0565168760709893,8.44575317670174e-09,1.57909972762228e-08,2.74386684386125e-08,4.86244700853697e-07
"05BR005",0.656868895299436,0,0.487323653956536,2.66606790920304e-06,0.000183401121869591,0.327989850565427,0.548776223149312,0,0.045251026449433,0.0766999177139072,0.000980192121350678,4.227886160958e-11,3.22038614411236e-08,0
"01BR025",0.779834154938153,0.000623747234395796,0.0510330434617154,0.00291528140061884,0.0268583789386627,0.0265348811600586,0.85019143325617,0,0.0274941374030858,0.0465638717836337,0,0,0.011332878499551,0.0110244189588383
"09BR007",0.607280319639298,0.0158101756918439,0.193486011494779,0.017117669300731,0.0938348610126478,0.108483690226768,0.68916862404921,0,0.0177003918430907,0.0726759114329917,0,7.59177547892566e-05,0,0.0150125515356272
"16BR012",0.696449985413597,0.00668435620343414,0.467151322320815,0.00366873970153479,0.0221096321618696,0.232974952401181,0.657198536078662,8.67174104766733e-07,0.0248988878428327,0.0605346890828317,0,2.52705030546981e-09,6.2037051094854e-09,0.00121703755116754
"11BR044",0.665745046894679,0.018399852742548,0.124049027667301,0.0222724801307657,0.21220777805476,0.0953618124300441,0.541846694288479,0,0.0192745178268071,0.0655455444260833,0.00262974558649506,3.39135748380462e-08,1.89523074163917e-08,0.0625876286342661
"05BR044",0.712020291165512,0.00616280642634996,0.091361474808789,0.00324515346888187,0.0399173770726776,0.140979345555785,0.724049560311429,0,0.0112565099501467,0.0544073017668281,1.40049103727956e-06,0,2.86170514673597e-08,0.0293884762350452
"20BR008",0.593500820328058,0,0.227748788301971,0.000562995313241807,0.00709086814508203,0.231438252720283,0.663663505965405,0,0.0363712383475329,0.0566271206153522,0.00480901420634413,0,0,0
"01BR023",0.952930856740376,0,0.00767037108438522,0.00216656785042885,0.000184735596786386,0.0107776103531291,0.944605895756846,0,0.0346198412126124,0.0098117980518345,0,0,1.1902879238365e-07,0
